DATA LENGTH(steps) :
2489
STEP LENGTH(sec) :
0.005000

PCz,         PEL_Q0,      PEL_Q1,      PEL_Q2,      PEL_Q3,      WST,         RSP,         RSR,         RSY,         REP,         REY,         LSP,         LSR,         LSY,         LEP,         LEY,         PCzp,        wPELx,       wPELy,       wPELz,       WSTp,        RSPp,        RSRp,        RSYp,        REPp,        REYp,        LSPp,        LSRp,        LSYp,        LEPp,        LEYp,        PCzpp,       WSTpp,       RSPpp,       RSRpp,       RSYpp,       REPpp,       REYpp,       LSPpp,       LSRpp,       LSYpp,       LEPpp,       LEYpp
0.621155     0.999987     -0.000015    0.000309     0.005105     -0.025269    0.211202     -0.646691    0.018619     -0.637025    -0.008098    0.098671     0.585983     -0.132710    -0.607809    0.003399     0.001006     0.006491     0.000393     0.119642     -0.004502    0.008174     -0.089595    -0.027413    -0.028262    -0.064282    -0.082427    -0.025476    -0.057840    0.003625     0.007330     -0.003736    0.315670     -0.678155    -1.334106    -1.040734    0.198087     0.718052     -0.232530    -0.060778    0.037144     -0.469732    0.287027    
0.621160     0.999985     0.000002     0.000310     0.005407     -0.025288    0.211234     -0.647155    0.018469     -0.637164    -0.008411    0.098256     0.585854     -0.132998    -0.607796    0.003440     0.000984     0.006815     0.000058     0.121899     -0.002874    0.004618     -0.096292    -0.032889    -0.027198    -0.060566    -0.083453    -0.025658    -0.057706    0.001148     0.008772     -0.005219    0.335195     -0.744130    -1.344684    -1.149542    0.227791     0.768284     -0.177894    -0.011975    0.016118     -0.521365    0.289757    
0.621164     0.999984     0.000019     0.000309     0.005714     -0.025298    0.211248     -0.647653    0.018290     -0.637297    -0.008704    0.097837     0.585726     -0.133287    -0.607797    0.003487     0.000957     0.007138     -0.000273    0.124000     -0.001154    0.000755     -0.103038    -0.038908    -0.026006    -0.056620    -0.084201    -0.025595    -0.057672    -0.001595    0.010220     -0.005570    0.352970     -0.800914    -1.353514    -1.257878    0.248887     0.810003     -0.121113    0.036869     -0.002331    -0.575544    0.289359    
0.621169     0.999982     0.000037     0.000308     0.006027     -0.025300    0.211242     -0.648186    0.018080     -0.637424    -0.008977    0.097414     0.585598     -0.133575    -0.607812    0.003542     0.000930     0.007439     -0.000626    0.125972     0.000640     -0.003292    -0.109887    -0.045343    -0.024739    -0.052653    -0.084721    -0.025421    -0.057476    -0.004539    0.011608     -0.005207    0.364675     -0.817856    -1.386202    -1.316112    0.257857     0.776988     -0.086817    0.032763     0.080900     -0.602213    0.265804    
0.621174     0.999980     0.000056     0.000306     0.006344     -0.025292    0.211215     -0.648752    0.017837     -0.637544    -0.009231    0.096989     0.585472     -0.133861    -0.607843    0.003603     0.000903     0.007702     -0.001026    0.127830     0.002496     -0.007433    -0.116900    -0.052037    -0.023416    -0.048877    -0.085068    -0.025264    -0.056872    -0.007602    0.012880     -0.005625    0.377586     -0.838561    -1.418987    -1.361535    0.271362     0.733051     -0.052113    0.030054     0.160447     -0.622901    0.242895    
0.621178     0.999978     0.000075     0.000303     0.006666     -0.025275    0.211167     -0.649355    0.017559     -0.637658    -0.009466    0.096563     0.585346     -0.134144    -0.607888    0.003671     0.000872     0.007914     -0.001456    0.129503     0.004443     -0.011814    -0.124018    -0.058955    -0.021950    -0.045244    -0.085182    -0.024974    -0.056162    -0.010777    0.014101     -0.006473    0.401389     -0.914156    -1.428297    -1.405810    0.315133     0.720159     0.006708     0.085887     0.123578     -0.647174    0.245734    
0.621182     0.999976     0.000095     0.000298     0.006992     -0.025247    0.211097     -0.649992    0.017247     -0.637764    -0.009683    0.096138     0.585222     -0.134423    -0.607950    0.003744     0.000840     0.008078     -0.001895    0.130932     0.006513     -0.016567    -0.131166    -0.066114    -0.020271    -0.041659    -0.085007    -0.024402    -0.055655    -0.014064    0.015340     -0.006449    0.426364     -0.986956    -1.430637    -1.457652    0.356401     0.713988     0.062957     0.142865     0.079158     -0.667529    0.249595    
0.621187     0.999973     0.000116     0.000293     0.007321     -0.025209    0.211002     -0.650666    0.016898     -0.637861    -0.009882    0.095713     0.585102     -0.134700    -0.608029    0.003824     0.000809     0.008234     -0.002362    0.132186     0.008691     -0.021519    -0.138314    -0.073610    -0.018487    -0.038115    -0.084638    -0.023681    -0.055155    -0.017404    0.016543     -0.005964    0.445142     -0.993683    -1.428574    -1.540906    0.357387     0.703657     0.084797     0.145879     0.120948     -0.668620    0.231801    
0.621191     0.999971     0.000136     0.000286     0.007653     -0.025160    0.210882     -0.651376    0.016511     -0.637949    -0.010064    0.095291     0.584985     -0.134974    -0.608124    0.003910     0.000778     0.008413     -0.002871    0.133338     0.010957     -0.026488    -0.145459    -0.081488    -0.016708    -0.034653    -0.084159    -0.022955    -0.054420    -0.020752    0.017647     -0.006540    0.461035     -0.993826    -1.429712    -1.610177    0.353908     0.681107     0.106764     0.144163     0.173174     -0.670501    0.209826    
0.621194     0.999968     0.000157     0.000278     0.007988     -0.025100    0.210737     -0.652121    0.016083     -0.638028    -0.010229    0.094872     0.584872     -0.135244    -0.608237    0.004000     0.000742     0.008578     -0.003391    0.134356     0.013288     -0.031556    -0.152654    -0.089493    -0.014891    -0.031416    -0.083483    -0.022151    -0.053534    -0.024165    0.018654     -0.007606    0.471589     -1.033706    -1.448058    -1.592104    0.372850     0.613839     0.163648     0.177486     0.180933     -0.694802    0.192786    
0.621198     0.999965     0.000179     0.000269     0.008325     -0.025028    0.210566     -0.652902    0.015616     -0.638098    -0.010378    0.094456     0.584764     -0.135510    -0.608366    0.004096     0.000706     0.008694     -0.003893    0.135193     0.015673     -0.036840    -0.159924    -0.097393    -0.012967    -0.028504    -0.082520    -0.021176    -0.052630    -0.027682    0.019584     -0.007080    0.482098     -1.079677    -1.460034    -1.567880    0.397065     0.550844     0.221581     0.212846     0.180826     -0.712066    0.179357    
0.621201     0.999962     0.000201     0.000259     0.008663     -0.024943    0.210368     -0.653720    0.015109     -0.638158    -0.010514    0.094046     0.584660     -0.135771    -0.608513    0.004196     0.000674     0.008801     -0.004415    0.135855     0.018122     -0.042315    -0.167147    -0.105329    -0.010924    -0.025753    -0.081344    -0.020090    -0.051694    -0.031159    0.020471     -0.005720    0.497767     -1.110275    -1.429325    -1.606399    0.419947     0.549658     0.248792     0.221313     0.193727     -0.678761    0.175436    
0.621205     0.999959     0.000222     0.000247     0.009004     -0.024846    0.210143     -0.654574    0.014563     -0.638207    -0.010636    0.093643     0.584563     -0.136027    -0.608678    0.004301     0.000644     0.008933     -0.004995    0.136352     0.020661     -0.047916    -0.174203    -0.113474    -0.008787    -0.023018    -0.080045    -0.018970    -0.050685    -0.034462    0.021328     -0.006272    0.517567     -1.130194    -1.393067    -1.651677    0.434701     0.544120     0.271055     0.226663     0.209525     -0.642281    0.167449    
0.621208     0.999956     0.000245     0.000233     0.009345     -0.024737    0.209889     -0.655462    0.013975     -0.638245    -0.010744    0.093246     0.584471     -0.136278    -0.608858    0.004410     0.000608     0.009018     -0.005611    0.136667     0.023326     -0.053548    -0.181129    -0.121757    -0.006655    -0.020510    -0.078606    -0.017787    -0.049602    -0.037677    0.022081     -0.007973    0.548733     -1.122770    -1.377298    -1.661250    0.418276     0.459370     0.304256     0.246436     0.223904     -0.643672    0.133687    
0.621211     0.999953     0.000267     0.000219     0.009687     -0.024613    0.209607     -0.656385    0.013345     -0.638274    -0.010841    0.092857     0.584385     -0.136523    -0.609054    0.004522     0.000568     0.008996     -0.006235    0.136786     0.026139     -0.059149    -0.187988    -0.130042    -0.004599    -0.018442    -0.076998    -0.016496    -0.048465    -0.040897    0.022685     -0.008072    0.576420     -1.117633    -1.366377    -1.653055    0.404085     0.367772     0.339165     0.270201     0.231061     -0.644207    0.108036    
0.621214     0.999950     0.000289     0.000202     0.010029     -0.024475    0.209298     -0.657342    0.012674     -0.638291    -0.010929    0.092476     0.584306     -0.136762    -0.609267    0.004636     0.000531     0.008939     -0.006856    0.136750     0.029027     -0.064816    -0.194790    -0.138199    -0.002514    -0.016702    -0.075225    -0.015082    -0.047360    -0.044016    0.023307     -0.006901    0.578829     -1.148986    -1.354357    -1.609492    0.430011     0.327994     0.369971     0.295514     0.210750     -0.603446    0.140605    
0.621216     0.999946     0.000311     0.000184     0.010371     -0.024323    0.208959     -0.658333    0.011963     -0.638299    -0.011008    0.092105     0.584234     -0.136996    -0.609495    0.004755     0.000499     0.008921     -0.007473    0.136600     0.031920     -0.070636    -0.201514    -0.146137    -0.000308    -0.015148    -0.073302    -0.013556    -0.046337    -0.046914    0.024084     -0.005668    0.578263     -1.179053    -1.335120    -1.565797    0.452506     0.293537     0.399346     0.314631     0.198543     -0.555895    0.170128    
