0 X(value) Y(value) Z(value) 
2.31971 0.732722 3.86626 5.86622 
2.32474 0.725885 3.86456 5.86419 
2.32971 0.725885 3.86284 5.86281 
2.33475 0.718966 3.86111 5.86075 
2.33971 0.718966 3.85937 5.85935 
2.34475 0.711954 3.85764 5.85728 
2.34987 0.711954 3.85588 5.85586 
2.35476 0.704894 3.85413 5.85376 
2.35971 0.704894 3.85234 5.85233 
2.36473 0.697788 3.85058 5.8502 
2.36971 0.697788 3.84878 5.84877 
2.37479 0.690616 3.84699 5.84659 
2.37975 0.690616 3.84518 5.84514 
2.38478 0.68331 3.84338 5.843 
2.38974 0.68331 3.84155 5.84151 
2.39479 0.675974 3.83973 5.83934 
2.39974 0.675974 3.83787 5.83784 
2.40478 0.668572 3.83604 5.83565 
2.40971 0.668572 3.83418 5.83415 
2.41478 0.661102 3.83232 5.83193 
2.41971 0.661102 3.83044 5.83042 
2.42475 0.653589 3.82857 5.82817 
2.42974 0.653589 3.82665 5.82665 
2.43472 0.645999 3.82478 5.82438 
2.43972 0.645999 3.82285 5.82282 
2.44478 0.638295 3.82097 5.82056 
2.44972 0.638295 3.81902 5.81899 
2.45478 0.630569 3.81712 5.81671 
2.45972 0.630569 3.81516 5.81513 
2.46475 0.622775 3.81324 5.81282 
2.46971 0.622775 3.81127 5.81123 
2.47478 0.61492 3.80931 5.80891 
2.47971 0.61492 3.80734 5.80732 
2.48476 0.60702 3.80538 5.80496 
2.48971 0.60702 3.80339 5.80337 
2.49472 0.59904 3.80141 5.80099 
2.49971 0.59904 3.7994 5.79939 
2.50479 0.59099 3.7974 5.79698 
2.50973 0.59099 3.79539 5.79536 
2.51474 0.58292 3.79337 5.79294 
2.51973 0.58292 3.79133 5.79129 
2.52475 0.574786 3.7893 5.78887 
2.52973 0.574786 3.78724 5.78722 
2.53474 0.566576 3.78521 5.78478 
2.53974 0.566576 3.78312 5.78312 
2.54473 0.558312 3.78108 5.78064 
2.54972 0.558312 3.77899 5.77895 
2.55472 0.549985 3.77693 5.77649 
2.55972 0.549985 3.77482 5.77479 
2.56472 0.541605 3.77276 5.77231 
2.56971 0.541605 3.77065 5.77064 
2.57471 0.533177 3.76854 5.76811 
2.57972 0.533177 3.76643 5.7664 
2.58479 0.524697 3.76432 5.76387 
2.58972 0.524697 3.76217 5.76213 
2.59478 0.516146 3.76007 5.75962 
2.59972 0.516146 3.75791 5.75787 
2.60478 0.507568 3.75578 5.75533 
2.60972 0.507568 3.75362 5.75358 
2.61479 0.498888 3.75147 5.75102 
2.61972 0.498888 3.7493 5.74925 
2.62478 0.490221 3.74715 5.74668 
2.62973 0.490221 3.74497 5.74492 
2.63475 0.481485 3.74278 5.74232 
2.63972 0.481485 3.74056 5.74056 
2.64472 0.472706 3.7384 5.73793 
2.64972 0.472706 3.73618 5.73613 
2.65476 0.463833 3.73399 5.73352 
2.65972 0.463833 3.73175 5.73172 
2.66474 0.45495 3.72957 5.72909 
2.66972 0.45495 3.72731 5.72728 
2.67474 0.446071 3.72511 5.72463 
2.67972 0.446071 3.72286 5.72281 
2.68474 0.437096 3.72063 5.72015 
2.68974 0.437096 3.71836 5.71807 
2.69475 0.428068 3.71613 5.71566 
2.69971 0.428068 3.71385 5.71357 
2.70479 0.419013 3.71161 5.71114 
2.70974 0.419013 3.70932 5.7093 
2.71478 0.409876 3.70707 5.7066 
2.71974 0.409876 3.70479 5.70449 
2.72478 0.400734 3.70251 5.70204 
2.72976 0.400734 3.7002 5.70017 
2.73478 0.391552 3.69794 5.69745 
2.73971 0.391552 3.69561 5.69535 
2.74477 0.382369 3.69333 5.69284 
2.74974 0.382369 3.691 5.69071 
2.75478 0.373069 3.6887 5.68823 
2.75974 0.373069 3.68636 5.68635 
2.76478 0.363772 3.68406 5.68359 
2.76974 0.363772 3.68173 5.68143 
2.77478 0.354438 3.67941 5.67893 
2.77976 0.354438 3.67704 5.67677 
2.78478 0.3451 3.67473 5.67424 
2.78974 0.3451 3.67237 5.67205 
2.79478 0.335666 3.67004 5.66955 
2.79971 0.335666 3.66767 5.66739 
2.80478 0.326235 3.66533 5.66483 
2.80974 0.326235 3.66296 5.66261 
2.81478 0.31679 3.66061 5.66011 
2.81971 0.31679 3.65823 5.65818 
2.82474 0.307312 3.65586 5.65536 
2.82974 0.307312 3.65348 5.65344 
2.83475 0.297767 3.65111 5.6506 
2.83971 0.297767 3.64872 5.64868 
2.84475 0.288195 3.64633 5.64583 
2.84975 0.288195 3.64391 5.64361 
2.85479 0.278622 3.64155 5.64104 
2.85973 0.278622 3.63913 5.63884 
2.86475 0.268988 3.63673 5.63623 
2.86974 0.268988 3.63433 5.63401 
2.87479 0.25936 3.63192 5.63142 
2.87976 0.25936 3.62949 5.62946 
2.88478 0.249643 3.62709 5.62658 
2.88975 0.249643 3.62467 5.6243 
2.89478 0.239949 3.62225 5.62175 
2.89976 0.239949 3.6198 5.6195 
2.90478 0.230228 3.61739 5.61689 
2.90974 0.230228 3.61494 5.61464 
2.91478 0.220487 3.61253 5.61202 
2.91975 0.220487 3.61009 5.60977 
2.92478 0.210727 3.60765 5.60714 
2.92974 0.210727 3.60519 5.6049 
2.93478 0.200971 3.60276 5.60225 
2.93975 0.200971 3.60029 5.60026 
2.94478 0.191131 3.59786 5.59735 
2.94976 0.191131 3.59538 5.59535 
2.95478 0.18131 3.59296 5.59244 
2.95975 0.18131 3.59049 5.59016 
2.96478 0.171467 3.58804 5.58753 
2.96975 0.171467 3.58555 5.58524 
2.97478 0.161606 3.58311 5.5826 
2.97974 0.161606 3.58062 5.58032 
2.98478 0.151729 3.57818 5.57767 
2.98971 0.151729 3.57568 5.57537 
2.99478 0.141838 3.57324 5.57273 
2.99971 0.141838 3.57076 5.57043 
3.00473 0.131973 3.56828 5.56777 
3.00975 0.131973 3.56579 5.56575 
3.01474 0.122014 3.56333 5.56282 
3.01975 0.122014 3.56083 5.56049 
3.02478 0.112123 3.55837 5.55786 
3.02974 0.112123 3.55585 5.55555 
3.03478 0.102133 3.5534 5.55288 
3.03975 0.102133 3.55092 5.55086 
3.04479 0.0922016 3.54842 5.54791 
3.04976 0.0922016 3.54592 5.54558 
3.05475 0.0822721 3.54344 5.54292 
3.05972 0.0822721 3.54094 5.5409 
3.06476 0.0723023 3.53846 5.53795 
3.06971 0.0723023 3.53595 5.53594 
3.07476 0.0623179 3.53347 5.53295 
3.07971 0.0623179 3.53095 5.53064 
3.08474 0.052343 3.52848 5.52796 
3.08971 0.052343 3.52597 5.52596 
3.09475 0.0423359 3.5235 5.52297 
3.09971 0.0423359 3.52096 5.52096 
3.10476 0.0323286 3.51849 5.51798 
3.10972 0.0323286 3.51601 5.51597 
3.11472 0.0223281 3.51352 5.51298 
3.11971 0.0223281 3.51098 5.51099 
3.12478 0.0123423 3.50849 5.50798 
3.12971 0.0123423 3.506 5.50567 
3.13478 0.00231901 3.5035 5.50299 
3.13975 0.00231901 3.50099 5.50094 
3.14478 -0.00768138 3.4985 5.49798 
3.14974 -0.00768138 3.49598 5.49594 
3.15479 -0.0176829 3.49351 5.49298 
3.15975 -0.0176829 3.49099 5.49095 
3.16474 -0.0276274 3.48851 5.48797 
3.16976 -0.0276274 3.48598 5.48594 
3.17474 -0.0376222 3.4835 5.48298 
3.17971 -0.0376222 3.48098 5.48095 
3.18475 -0.0476233 3.4785 5.47799 
3.18974 -0.0476233 3.476 5.47598 
3.19474 -0.057609 3.47351 5.47299 
3.19976 -0.057609 3.47101 5.47068 
3.20479 -0.0676216 3.46853 5.468 
3.20971 -0.0676216 3.46603 5.46599 
3.21474 -0.0775581 3.46354 5.46301 
3.21971 -0.0775581 3.46101 5.46073 
3.22474 -0.0875289 3.45854 5.45803 
3.22971 -0.0875289 3.45606 5.45602 
3.23475 -0.0974884 3.45357 5.45304 
3.23971 -0.0974884 3.45108 5.45105 
3.24475 -0.107479 3.44859 5.44808 
3.24974 -0.107479 3.4461 5.44577 
3.25474 -0.11738 3.44362 5.4431 
3.25973 -0.11738 3.44112 5.44079 
3.26474 -0.127292 3.43866 5.43814 
3.26971 -0.127292 3.43618 5.43586 
3.27475 -0.137217 3.43369 5.43318 
3.27976 -0.137217 3.4312 5.43087 
3.28479 -0.147124 3.42874 5.42822 
3.28974 -0.147124 3.42626 5.42624 
3.29479 -0.157 3.4238 5.42328 
3.29971 -0.157 3.4213 5.42129 
