0 RMx(value) RMy(value) RFz(value) 
1.77489 0 0 0 
1.77991 0 0 0 
1.78489 0 0 0 
1.7899 0 0 0 
1.79489 0 0 0 
1.79986 0 0 0 
1.80489 0 0 0 
1.80985 0 0 0 
1.81489 0 0 0 
1.81991 0 0 0 
1.82489 0 0 0 
1.82989 0 0 0 
1.83489 0 0 0 
1.83989 0 0 0 
1.8449 0 0 0 
1.84991 0 0 0 
1.85489 0 0 0 
1.85989 0 0 0 
1.86486 0 0 0 
1.86985 0 0 0 
1.87489 0 0 0 
1.87984 0 0 0 
1.88485 0 0 0 
1.8899 0 0 0 
1.89489 0 0 0 
1.89991 0 0 0 
1.90489 0 0 0 
1.90989 0 0 0 
1.91493 0 0 0 
1.91989 0 0 0 
1.92489 0 0 0 
1.9299 0 0 0 
1.93489 0 0 0 
1.93991 0 0 0 
1.94486 0 0 0 
1.94986 0 0 0 
1.95485 0 0 0 
1.95989 0 0 0 
1.96486 0 0 0 
1.96991 0 0 0 
1.97489 0 0 0 
1.97991 0 0 0 
1.98489 0 0 0 
1.98991 0 0 0 
1.99489 0 0 0 
1.99989 0 0 0 
2.00489 0 0 0 
2.00989 0 0 0 
2.01489 0 0 0 
2.01991 0 0 0 
2.0249 0 0 0 
2.02991 0 0 0 
2.03489 0 0 0 
2.03989 0 0 0 
2.04489 0 0 0 
2.04991 0 0 0 
2.05489 0 0 0 
2.05989 0 0 0 
2.06489 0 0 0 
2.06991 0 0 0 
2.07489 0 0 0 
2.07989 0 0 0 
2.08489 0 0 0 
2.08991 0 0 0 
2.09489 0 0 0 
2.09991 0 0 0 
2.10489 0 0 0 
2.10991 0 0 0 
2.11489 0 0 0 
2.11986 0 0 0 
2.12489 0 0 0 
2.12989 0 0 0 
2.13489 0 0 0 
2.13991 0 0 0 
2.14489 0 0 0 
2.14991 0 0 0 
2.15489 0 0 0 
2.15989 0 0 0 
2.16489 0 0 0 
2.16989 0 0 0 
2.17489 0 0 0 
2.17989 0 0 0 
2.18489 0 0 0 
2.18987 0 0 0 
2.19486 0 0 0 
2.19989 0 0 0 
2.20489 0 0 0 
2.20991 0 0 0 
2.21489 0 0 0 
2.21989 0 0 0 
2.22489 0 0 0 
2.22989 0 0 0 
2.23489 0 0 0 
2.23986 0 0 0 
2.24489 0 0 0 
2.24991 0 0 0 
2.25489 0 0 0 
2.25991 0 0 0 
2.26489 0 0 0 
2.26989 0 0 0 
2.27489 0 0 0 
2.27989 0 0 0 
2.28486 0 0 0 
2.28991 0 0 0 
2.29489 0 0 0 
2.29991 0 0 0 
2.30489 0 0 0 
2.30985 0 0 0 
2.31489 0 0 0 
2.31989 0 0 0 
2.32489 0 0 0 
2.32989 0 0 0 
2.33489 0 0 0 
2.33991 0 0 0 
2.34489 0 0 0 
2.34991 0 0 0 
2.35489 0 0 0 
2.35985 0 0 0 
2.36486 0 0 0 
2.36988 0 0 0 
2.37489 0 0 0 
2.3799 0 0 0 
2.38489 0 0 0 
2.38989 0 0 0 
2.39489 0 0 0 
2.39989 0 0 0 
2.40489 0 0 0 
2.40991 0 0 0 
2.41489 0 0 0 
2.41989 0 0 0 
2.42489 0 0 0 
2.4299 0 0 0 
2.43489 0 0 0 
2.43989 0 0 0 
2.44489 0 0 0 
2.44989 0 0 0 
2.45489 0 0 0 
2.45992 0 0 0 
2.46489 0 0 0 
2.46985 0 0 0 
2.47489 0 0 0 
2.47986 0 0 0 
2.48489 0 0 0 
2.48989 0 0 0 
2.49489 0 0 0 
2.49989 0 0 0 
2.50489 0 0 0 
2.50991 0 0 0 
2.51489 0 0 0 
2.51989 0 0 0 
2.52489 0 0 0 
2.52991 0 0 0 
2.53489 0 0 0 
2.53989 0 0 0 
2.54489 0 0 0 
2.54989 0 0 0 
2.55489 0 0 0 
2.55989 0 0 0 
2.56489 0 0 0 
2.5699 0 0 0 
2.57489 0 0 0 
2.57991 0 0 0 
2.58489 0 0 0 
2.58989 0 0 0 
2.59489 0 0 0 
2.59989 0 0 0 
2.60489 0 0 0 
2.60991 0 0 0 
2.61489 0 0 0 
2.61991 0 0 0 
2.62486 0 0 0 
2.62991 0 0 0 
2.6349 0 0 0 
2.63989 0 0 0 
2.64489 0 0 0 
2.64986 0 0 0 
2.65486 0 0 0 
2.65986 0 0 0 
2.66485 0 0 0 
2.66991 0 0 0 
2.67489 0 0 0 
2.67989 0 0 0 
2.68489 0 0 0 
2.68989 0 0 0 
2.69485 0 0 0 
2.69986 0 0 0 
2.70489 0 0 0 
2.70991 0 0 0 
2.71489 0 0 0 
2.71989 0 0 0 
2.72489 0 0 0 
2.72991 0 0 0 
2.73489 0 0 0 
2.73986 0 0 0 
2.74489 0 0 0 
2.74985 0 0 0 
2.75489 0 0 0 
2.75989 0 0 0 
2.76489 0 0 0 
2.76989 0 0 0 
2.77484 0 0 0 
2.77986 0 0 0 
2.78484 0 0 0 
2.78984 0 0 0 
2.795 0 0 0 
2.7999 0 0 0 
2.80489 0 0 0 
2.80985 0 0 0 
2.81489 0 0 0 
2.81991 0 0 0 
2.82489 0 0 0 
2.82991 0 0 0 
2.83489 0 0 0 
2.83989 0 0 0 
2.84489 0 0 0 
2.84986 0 0 0 
2.85489 0 0 0 
2.85989 0 0 0 
2.86486 0 0 0 
2.86991 0 0 0 
2.87489 0 0 0 
2.87989 0 0 0 
2.88489 0 0 0 
2.88991 0 0 0 
2.89489 0 0 0 
2.89991 0 0 0 
2.90485 0 0 0 
2.90989 0 0 0 
2.9149 0 0 0 
2.91989 0 0 0 
2.92489 0 0 0 
2.92991 0 0 0 
2.93489 0 0 0 
2.93991 0 0 0 
2.94489 0 0 0 
2.94991 0 0 0 
2.95489 0 0 0 
2.95989 0 0 0 
2.96489 0 0 0 
2.96991 0 0 0 
2.97489 0 0 0 
2.97991 0 0 0 
2.98489 0 0 0 
2.98991 0 0 0 
2.99489 0 0 0 
2.99989 0 0 0 
3.00487 0 0 0 
3.00989 0 0 0 
3.01489 0 0 0 
3.01991 0 0 0 
3.02489 0 0 0 
3.02991 0 0 0 
3.03489 0 0 0 
3.03989 0 0 0 
3.04489 0 0 0 
3.04991 0 0 0 
3.05489 0 0 0 
3.05983 0 0 0 
3.06489 0 0 0 
3.06991 0 0 0 
3.07489 0 0 0 
3.07989 0 0 0 
3.08489 0 0 0 
3.08991 0 0 0 
3.09489 0 0 0 
3.09991 0 0 0 
3.10489 0 0 0 
3.1099 0 0 0 
3.11489 0 0 0 
3.11988 0 0 0 
3.12486 0 0 0 
3.12988 0 0 0 
3.13489 0 0 0 
3.13991 0 0 0 
3.14489 0 0 0 
3.14991 0 0 0 
3.15489 0 0 0 
3.15985 0 0 0 
3.16489 0 0 0 
3.16989 0 0 0 
3.17489 0 0 0 
3.17989 0 0 0 
3.18489 0 0 0 
3.18991 0 0 0 
3.19489 0 0 0 
3.19989 0 0 0 
3.20489 0 0 0 
3.20991 0 0 0 
3.21486 0 0 0 
3.21989 0 0 0 
3.2249 0 0 0 
3.22989 0 0 0 
3.23489 0 0 0 
3.23986 0 0 0 
3.24489 0 0 0 
3.24991 0 0 0 
3.25483 0 0 0 
3.25991 0 0 0 
3.26489 0 0 0 
3.26989 0 0 0 
3.27489 0 0 0 
3.27989 0 0 0 
3.28489 0 0 0 
3.28991 0 0 0 
3.29489 0 0 0 
